Kod Responden,a5: ( Jantina ),a6: ( Bangsa ),a7: ( Agama ),a8: ( Umur )
14018,Lelaki,Melayu,Islam,62
14019,Lelaki,Cina,Buddha,60
14021,Lelaki,Melayu,Islam,62
14024,Perempuan,Cina,Buddha,78
14025,Perempuan,Melayu,Islam,60
14028,Lelaki,Cina,Buddha,74
14029,Lelaki,Cina,Buddha,62
14031,Perempuan,Cina,Buddha,72
14035,Perempuan,Cina,Buddha,79
14038,Perempuan,Cina,Buddha,77
14041,Lelaki,Cina,Buddha,72
14042,Perempuan,Cina,Buddha,70
14047,Perempuan,Cina,Buddha,79
15002,Perempuan,Cina,Buddha,75
15007,Lelaki,Melayu,Islam,61
15012,Perempuan,Melayu,Islam,68
15014,Lelaki,Melayu,Islam,62
15017,Perempuan,Melayu,Islam,76
15018,Lelaki,Melayu,Islam,75
15020,Perempuan,Melayu,Islam,74
15023,Lelaki,Melayu,Islam,77
15030,Perempuan,Melayu,Islam,68
16001,Lelaki,Melayu,Islam,62
16003,Lelaki,Melayu,Islam,80
16005,Perempuan,Melayu,Islam,63
16006,Perempuan,Melayu,Islam,66
16008,Perempuan,Melayu,Islam,64
16017,Lelaki,Melayu,Islam,67
16018,Lelaki,Melayu,Islam,75
16019,Perempuan,Melayu,Islam,68
16022,Lelaki,Cina,Buddha,70
16024,Lelaki,Cina,Buddha,74
16026,Perempuan,Cina,Buddha,66
16027,Perempuan,Cina,Buddha,62
16028,Lelaki,Cina,Buddha,76
16030,Perempuan,Melayu,Islam,65
16031,Lelaki,Cina,Buddha,63
16032,Lelaki,Cina,Buddha,61
16034,Perempuan,Cina,Buddha,68
16035,Perempuan,Cina,Buddha,76
16036,Perempuan,Cina,Buddha,74
16037,Lelaki,Cina,Buddha,70
16039,Lelaki,Cina,Buddha,72
16041,Perempuan,Cina,Buddha,70
16042,Perempuan,Cina,Buddha,69
17003,Lelaki,Cina,Buddha,65
17004,Lelaki,Melayu,Islam,61
17005,Lelaki,Cina,Buddha,72
17006,Perempuan,Melayu,Islam,61
17008,Lelaki,Cina,Buddha,75
17009,Lelaki,Cina,Buddha,70
17010,Perempuan,Cina,Buddha,61
17015,Lelaki,Cina,Buddha,64
17017,Perempuan,Melayu,Islam,60
17020,Lelaki,Melayu,Islam,67
17021,Lelaki,Cina,Buddha,78
17022,Perempuan,Cina,Buddha,79
17025,Perempuan,Cina,Buddha,61
17027,Perempuan,Melayu,Islam,64
17028,Lelaki,Cina,Buddha,72
18003,Lelaki,Cina,Buddha,71
18004,Perempuan,Melayu,Islam,74
18005,Lelaki,Melayu,Islam,73
18008,Perempuan,Melayu,Islam,74
18013,Lelaki,Melayu,Islam,68
18014,Perempuan,Melayu,Islam,68
18019,Perempuan,Melayu,Islam,68
18022,Lelaki,Melayu,Islam,75
18023,Perempuan,Melayu,Islam,71
18027,Lelaki,Melayu,Islam,66
18034,Perempuan,Melayu,Islam,69
18043,Lelaki,Melayu,Islam,70
18046,Lelaki,Melayu,Islam,72
18047,Perempuan,Melayu,Islam,73
18050,Perempuan,Melayu,Islam,80
19001,Lelaki,Melayu,Islam,69
19002,Perempuan,Melayu,Islam,69
19004,Perempuan,Melayu,Islam,60
19005,Lelaki,Melayu,Islam,64
19008,Lelaki,Melayu,Islam,76
19009,Perempuan,Melayu,Islam,72
19010,Lelaki,Melayu,Islam,63
19011,Perempuan,Melayu,Islam,66
19012,Perempuan,Melayu,Islam,67
19013,Perempuan,Melayu,Islam,61
19014,Perempuan,Melayu,Islam,66
19016,Perempuan,Melayu,Islam,72
19017,Perempuan,Melayu,Islam,78
19018,Lelaki,Melayu,Islam,73
19019,Perempuan,Melayu,Islam,66
19023,Perempuan,Melayu,Islam,77
19029,Lelaki,Melayu,Islam,65
19030,Lelaki,Melayu,Islam,66
19031,Lelaki,Melayu,Islam,66
19032,Lelaki,Melayu,Islam,68
19033,Perempuan,Melayu,Islam,62
19034,Lelaki,Melayu,Islam,66
19035,Perempuan,Melayu,Islam,67
19038,Perempuan,Melayu,Islam,76
19039,Lelaki,Melayu,Islam,70
20201,Perempuan,Melayu,Islam,62
20202,Perempuan,Melayu,Islam,70
20203,Perempuan,Melayu,Islam,64
20204,Perempuan,Melayu,Islam,65
20206,Perempuan,Melayu,Islam,69
20207,Perempuan,Melayu,Islam,65
20209,Lelaki,Melayu,Islam,73
20213,Perempuan,Melayu,Islam,61
20214,Perempuan,Melayu,Islam,68
20217,Lelaki,Melayu,Islam,62
20220,Perempuan,Melayu,Islam,79
20221,Perempuan,Melayu,Islam,76
20225,Perempuan,Melayu,Islam,62
20226,Perempuan,Melayu,Islam,68
20230,Lelaki,Melayu,Islam,72
20232,Perempuan,Melayu,Islam,62
20234,Perempuan,Melayu,Islam,62
20236,Lelaki,Melayu,Islam,70
20237,Perempuan,Melayu,Islam,65
20238,Perempuan,Melayu,Islam,64
20239,Perempuan,Melayu,Islam,68
20240,Perempuan,Melayu,Islam,61
20241,Perempuan,Melayu,Islam,67
20242,Perempuan,Melayu,Islam,63
20302,Perempuan,Melayu,Islam,80
20303,Perempuan,Melayu,Islam,76
20307,Perempuan,Melayu,Islam,75
20308,Lelaki,Melayu,Islam,73
20309,Perempuan,Melayu,Islam,67
20311,Perempuan,Melayu,Islam,65
20312,Perempuan,Melayu,Islam,68
20313,Perempuan,Melayu,Islam,65
20314,Perempuan,Melayu,Islam,71
20318,Perempuan,Melayu,Islam,68
20322,Perempuan,Melayu,Islam,60
20323,Perempuan,Melayu,Islam,80
20324,Lelaki,Melayu,Islam,74
20326,Perempuan,Melayu,Islam,64
20902,Perempuan,Melayu,Islam,69
20903,Perempuan,Melayu,Islam,64
20908,Perempuan,Melayu,Islam,65
20909,Lelaki,Melayu,Islam,65
20910,Lelaki,Melayu,Islam,67
20911,Perempuan,Melayu,Islam,66
20913,Perempuan,Melayu,Islam,64
20915,Lelaki,Melayu,Islam,69
20916,Lelaki,Melayu,Islam,66
20919,Lelaki,Melayu,Islam,63
20922,Perempuan,Melayu,Islam,64
20924,Perempuan,Melayu,Islam,77
20925,Perempuan,Melayu,Islam,66
20926,Perempuan,Melayu,Islam,62
20927,Perempuan,Melayu,Islam,67
20928,Lelaki,Melayu,Islam,66
20929,Perempuan,Melayu,Islam,68
20930,Perempuan,Melayu,Islam,67
20931,Perempuan,Melayu,Islam,71
20933,Lelaki,Melayu,Islam,71
20939,Perempuan,Melayu,Islam,69
20940,Lelaki,Melayu,Islam,72
20941,Perempuan,Melayu,Islam,61
20942,Lelaki,Melayu,Islam,66
20944,Perempuan,Melayu,Islam,66
20945,Perempuan,Melayu,Islam,69
20946,Lelaki,Melayu,Islam,69
20949,Perempuan,Melayu,Islam,61
20950,Perempuan,Melayu,Islam,65
20951,Perempuan,Melayu,Islam,64
20952,Lelaki,Melayu,Islam,70
21004,Lelaki,Cina,Buddha,67
21008,Lelaki,Cina,Buddha,73
21011,Perempuan,Cina,Buddha,75
21012,Lelaki,Cina,Buddha,68
21013,Perempuan,Cina,Buddha,63
21014,Lelaki,Cina,Buddha,72
21016,Perempuan,Cina,Buddha,63
21017,Lelaki,Cina,Buddha,67
21019,Lelaki,Cina,Buddha,72
21020,Perempuan,Cina,Buddha,60
21021,Perempuan,Cina,Buddha,69
21022,Lelaki,Cina,Buddha,75
21023,Perempuan,Cina,Buddha,62
21026,Lelaki,Cina,Buddha,65
21027,Perempuan,Cina,Buddha,62
21030,Perempuan,Cina,Buddha,60
21031,Lelaki,Cina,Lain-lain agama,68
21033,Perempuan,Cina,Buddha,80
21035,Lelaki,Cina,Buddha,64
21036,Perempuan,Cina,Buddha,67
21037,Lelaki,Cina,Buddha,81
21038,Lelaki,Cina,Buddha,72
21039,Perempuan,Cina,Buddha,73
22001,Perempuan,Cina,Buddha,71
22002,Lelaki,Cina,Buddha,70
22003,Lelaki,Cina,Buddha,67
22004,Perempuan,Cina,Buddha,72
22006,Perempuan,Cina,Buddha,72
22009,Perempuan,Cina,Buddha,72
22010,Perempuan,Cina,Buddha,71
22012,Perempuan,Cina,Buddha,74
22013,Perempuan,Cina,Buddha,61
22016,Lelaki,Cina,Buddha,69
22017,Perempuan,Cina,Buddha,71
22018,Lelaki,Cina,Buddha,71
22019,Perempuan,Cina,Buddha,67
22020,Lelaki,Cina,Buddha,81
22021,Lelaki,Cina,Buddha,71
22022,Perempuan,Cina,Buddha,68
22023,Lelaki,Cina,Buddha,73
22024,Perempuan,Cina,Buddha,77
22025,Perempuan,Cina,Buddha,66
22026,Perempuan,Cina,Buddha,76
22028,Perempuan,Cina,Buddha,76
22029,Perempuan,Cina,Buddha,74
22031,Perempuan,Cina,Buddha,68
22032,Perempuan,Cina,Buddha,69
22033,Lelaki,Cina,Buddha,83
22037,Lelaki,Cina,Buddha,72
22038,Lelaki,Cina,Buddha,60
22039,Perempuan,Cina,Buddha,76
22040,Lelaki,Cina,Buddha,79
22041,Perempuan,Cina,Buddha,68
22042,Lelaki,Cina,Buddha,76
22048,Lelaki,Cina,Buddha,63
22049,Perempuan,Cina,Buddha,67
22050,Perempuan,Cina,Buddha,69
23001,Lelaki,Cina,Buddha,70
23003,Lelaki,Cina,Buddha,64
23004,Lelaki,Cina,Buddha,68
23005,Lelaki,Cina,Buddha,68
23007,Lelaki,Cina,Buddha,64
23013,Perempuan,Cina,Buddha,63
23016,Lelaki,Cina,Buddha,66
23017,Lelaki,Cina,Buddha,72
23026,Perempuan,Cina,Buddha,65
23029,Perempuan,Cina,Buddha,76
23032,Perempuan,Cina,Buddha,80
24601,Lelaki,Cina,Buddha,75
24602,Perempuan,Cina,Buddha,70
24603,Lelaki,Cina,Buddha,73
24605,Lelaki,Cina,Buddha,75
24606,Perempuan,Cina,Buddha,61
24607,Perempuan,Cina,Buddha,66
24608,Perempuan,Cina,Buddha,77
24609,Perempuan,Cina,Kristian,73
24611,Lelaki,Cina,Buddha,76
24612,Lelaki,Cina,Buddha,64
24613,Lelaki,Cina,Buddha,65
24615,Lelaki,Cina,Buddha,72
24616,Perempuan,Cina,Buddha,63
24618,Lelaki,Cina,Buddha,68
24619,Perempuan,Cina,Buddha,65
24620,Lelaki,Cina,Lain-lain agama,71
24621,Lelaki,Cina,Buddha,65
24624,Perempuan,Cina,Buddha,66
24626,Perempuan,Cina,Buddha,67
24627,Lelaki,Cina,Buddha,69
24629,Lelaki,Cina,Buddha,64
24633,Lelaki,Cina,Buddha,78
24701,Lelaki,Cina,Buddha,72
24702,Perempuan,Cina,Buddha,62
24703,Perempuan,Cina,Kristian,61
24711,Perempuan,Cina,Kristian,65
24712,Perempuan,Cina,Kristian,66
24713,Lelaki,Cina,Lain-lain agama,73
25001,Perempuan,Cina,Buddha,71
25002,Perempuan,Cina,Buddha,73
25007,Perempuan,Melayu,Islam,71
25009,Perempuan,Melayu,Islam,64
25011,Perempuan,Melayu,Islam,66
25013,Perempuan,Melayu,Islam,61
25014,Perempuan,Cina,Buddha,62
25016,Lelaki,Cina,Buddha,62
25027,Lelaki,Melayu,Islam,60
26001,Perempuan,Cina,Buddha,68
26002,Perempuan,Cina,Kristian,69
26003,Perempuan,Cina,Kristian,62
26005,Lelaki,Melayu,Islam,65
26006,Perempuan,Cina,Kristian,76
26007,Lelaki,Melayu,Islam,62
26009,Lelaki,Cina,Buddha,64
26010,Perempuan,Cina,Kristian,64
26011,Lelaki,Cina,Kristian,82
26012,Lelaki,Cina,Kristian,74
26013,Perempuan,Cina,Kristian,67
26014,Perempuan,Cina,Kristian,70
26015,Lelaki,Cina,Kristian,73
26016,Perempuan,Cina,Buddha,75
26017,Perempuan,Cina,Buddha,68
26018,Perempuan,Cina,Buddha,63
26019,Perempuan,Cina,Buddha,63
26020,Perempuan,Cina,Buddha,72
26021,Lelaki,Cina,Buddha,70
26022,Perempuan,Cina,Buddha,64
26023,Lelaki,Cina,Buddha,70
26024,Lelaki,Cina,Lain-lain agama,66
26026,Lelaki,Melayu,Islam,60
26027,Perempuan,India,Hindu,69
26028,Perempuan,Melayu,Islam,78
26031,Lelaki,Melayu,Islam,64
26032,Lelaki,Melayu,Islam,71
26035,Lelaki,Melayu,Islam,72
26036,Lelaki,Melayu,Islam,62
26037,Perempuan,Cina,Buddha,73
26038,Lelaki,Melayu,Islam,62
26040,Perempuan,Melayu,Islam,61
26041,Lelaki,Melayu,Islam,62
26045,Lelaki,Melayu,Islam,73
26046,Perempuan,India,Hindu,62
26047,Perempuan,India,Hindu,76
26048,Perempuan,Melayu,Islam,61
26049,Lelaki,India,Hindu,66
26050,Lelaki,Melayu,Islam,60
26051,Perempuan,Melayu,Islam,61
26052,Perempuan,Melayu,Islam,65
26053,Perempuan,Melayu,Islam,75
27001,Perempuan,Cina,Kristian,66
27002,Perempuan,Cina,Buddha,73
27003,Lelaki,Cina,Buddha,73
27004,Perempuan,Cina,Buddha,63
27005,Lelaki,Cina,Buddha,74
27009,Perempuan,Cina,Buddha,73
27011,Perempuan,Cina,Buddha,74
27012,Perempuan,Cina,Buddha,72
27014,Lelaki,Cina,Kristian,70
27016,Perempuan,Cina,Kristian,64
27017,Perempuan,Cina,Buddha,64
27018,Perempuan,Cina,Buddha,73
27019,Perempuan,Cina,Buddha,69
27022,Perempuan,Cina,Kristian,74
27023,Lelaki,Cina,Kristian,62
27024,Perempuan,Cina,Buddha,63
27025,Perempuan,Cina,Buddha,74
27026,Perempuan,Cina,Kristian,75
27027,Perempuan,Cina,Buddha,74
27028,Perempuan,Cina,Buddha,63
27029,Perempuan,Cina,Buddha,73
27031,Perempuan,Cina,Kristian,71
27032,Lelaki,Cina,Buddha,70
27034,Lelaki,Cina,Lain-lain agama,71
27035,Lelaki,Cina,Kristian,68
27037,Lelaki,Cina,Buddha,83
27038,Lelaki,Cina,Kristian,62
27039,Lelaki,Cina,Kristian,68
27040,Perempuan,Cina,Buddha,62
27042,Lelaki,Cina,Buddha,64
27044,Lelaki,Cina,Buddha,72
27045,Lelaki,Cina,Buddha,82
27046,Perempuan,Cina,Kristian,70
27048,Lelaki,Cina,Kristian,67
27049,Perempuan,Cina,Kristian,62
27050,Perempuan,Cina,Kristian,70
27051,Perempuan,Cina,Buddha,67
27052,Lelaki,Cina,Buddha,70
27053,Lelaki,Cina,Buddha,61
27055,Perempuan,Cina,Buddha,68
27056,Perempuan,Cina,Kristian,71
27057,Perempuan,Cina,Buddha,72
28002,Perempuan,Melayu,Islam,65
28003,Perempuan,Melayu,Islam,60
28004,Perempuan,Melayu,Islam,66
28012,Lelaki,Melayu,Islam,61
28013,Lelaki,Melayu,Islam,76
28014,Lelaki,Melayu,Islam,77
28015,Perempuan,Melayu,Islam,89
28022,Perempuan,Melayu,Islam,77
28025,Perempuan,Melayu,Islam,72
28030,Perempuan,Melayu,Islam,64
28033,Perempuan,Melayu,Islam,61
28034,Perempuan,Melayu,Islam,62
28036,Perempuan,Melayu,Islam,76
28039,Perempuan,Melayu,Islam,63
28042,Perempuan,Melayu,Islam,70
28046,Perempuan,Melayu,Islam,64
29002,Lelaki,Melayu,Islam,62
29008,Lelaki,Melayu,Islam,66
29009,Perempuan,Melayu,Islam,62
29010,Lelaki,Melayu,Islam,61
29011,Lelaki,Melayu,Islam,65
29012,Perempuan,Melayu,Islam,62
29013,Perempuan,Melayu,Islam,64
29015,Perempuan,Melayu,Islam,68
29016,Perempuan,Melayu,Islam,79
29018,Lelaki,Melayu,Islam,78
29020,Lelaki,Melayu,Islam,65
29022,Perempuan,Melayu,Islam,67
29024,Perempuan,Melayu,Islam,68
29025,Perempuan,Melayu,Islam,70
29030,Perempuan,Melayu,Islam,70
29032,Lelaki,Melayu,Islam,70
29033,Lelaki,Melayu,Islam,74
29034,Perempuan,Melayu,Islam,67
29040,Perempuan,Melayu,Islam,68
29042,Lelaki,Melayu,Islam,76
29047,Lelaki,Melayu,Islam,76
30002,Lelaki,Melayu,Islam,69
30004,Lelaki,Melayu,Islam,64
30006,Lelaki,Melayu,Islam,73
30007,Perempuan,Melayu,Islam,63
30008,Perempuan,Melayu,Islam,64
30009,Perempuan,Melayu,Islam,64
30013,Lelaki,Melayu,Islam,68
30014,Perempuan,Melayu,Islam,69
30015,Perempuan,Melayu,Islam,76
30016,Perempuan,Melayu,Islam,64
30018,Lelaki,Melayu,Islam,67
30019,Perempuan,Melayu,Islam,75
30021,Perempuan,Melayu,Islam,91
30022,Perempuan,Melayu,Islam,69
30024,Lelaki,Melayu,Islam,74
30026,Perempuan,Melayu,Islam,69
30028,Lelaki,Melayu,Islam,84
30029,Lelaki,Melayu,Islam,60
30030,Lelaki,Melayu,Islam,64
30031,Perempuan,Melayu,Islam,63
30032,Perempuan,Melayu,Islam,74
30035,Lelaki,Melayu,Islam,72
30036,Perempuan,Melayu,Islam,66
30037,Perempuan,Melayu,Islam,67
30038,Perempuan,Melayu,Islam,72
30039,Perempuan,Melayu,Islam,70
30041,Perempuan,Melayu,Islam,64
30042,Perempuan,Melayu,Islam,79
30043,Lelaki,Melayu,Islam,68
30045,Lelaki,Melayu,Islam,63
30047,Lelaki,Melayu,Islam,64
30048,Perempuan,Melayu,Islam,64
30050,Lelaki,Melayu,Islam,69
30051,Perempuan,Melayu,Islam,60
31001,Perempuan,Melayu,Islam,75
31002,Lelaki,Melayu,Islam,70
31003,Lelaki,Melayu,Islam,76
31004,Lelaki,Melayu,Islam,61
31005,Lelaki,Melayu,Islam,73
31007,Perempuan,Melayu,Islam,68
31008,Lelaki,Melayu,Islam,74
31009,Lelaki,Melayu,Islam,70
31010,Perempuan,Melayu,Islam,60
31011,Lelaki,Melayu,Islam,70
31012,Lelaki,Melayu,Islam,66
31013,Lelaki,Melayu,Islam,66
31014,Lelaki,Melayu,Islam,64
31016,Lelaki,Melayu,Islam,65
31019,Perempuan,Melayu,Islam,63
31021,Lelaki,Melayu,Islam,64
31022,Lelaki,Melayu,Islam,66
31025,Perempuan,Melayu,Islam,65
31027,Lelaki,Melayu,Islam,75
31029,Lelaki,Melayu,Islam,76
31031,Lelaki,Melayu,Islam,61
31033,Lelaki,Melayu,Islam,76
31034,Lelaki,Melayu,Islam,67
31036,Lelaki,Melayu,Islam,61
31037,Perempuan,Melayu,Islam,69
31038,Perempuan,Melayu,Islam,63
31039,Lelaki,Melayu,Islam,62
31040,Lelaki,Melayu,Islam,66
31045,Perempuan,Melayu,Islam,70
31048,Lelaki,Melayu,Islam,68
31050,Lelaki,Melayu,Islam,70
31055,Lelaki,Melayu,Islam,62
31056,Lelaki,Melayu,Islam,63
32002,Lelaki,Melayu,Islam,73
32003,Lelaki,Melayu,Islam,68
32004,Lelaki,Melayu,Islam,63
32005,Lelaki,Melayu,Islam,60
32007,Lelaki,Melayu,Islam,64
32008,Lelaki,Melayu,Islam,69
32009,Lelaki,Melayu,Islam,76
32011,Perempuan,Melayu,Islam,73
32014,Perempuan,Melayu,Islam,73
32015,Lelaki,Melayu,Islam,65
32016,Lelaki,Melayu,Islam,60
32017,Perempuan,Melayu,Islam,68
32018,Perempuan,Melayu,Islam,61
32019,Perempuan,Melayu,Islam,69
32020,Lelaki,Melayu,Islam,60
32021,Perempuan,Melayu,Islam,61
32024,Lelaki,Melayu,Islam,67
32026,Perempuan,Melayu,Islam,78
32028,Lelaki,Melayu,Islam,61
32029,Lelaki,Melayu,Islam,65
32030,Lelaki,Melayu,Islam,67
32035,Lelaki,Melayu,Islam,75
32037,Lelaki,Melayu,Islam,79
32038,Lelaki,Melayu,Islam,75
32039,Lelaki,Melayu,Islam,62
32040,Lelaki,Melayu,Islam,66
32045,Perempuan,Melayu,Islam,75
32046,Perempuan,Melayu,Islam,75
32048,Lelaki,Melayu,Islam,66
32053,Lelaki,Melayu,Islam,75
32055,Perempuan,Melayu,Islam,86
32058,Perempuan,Melayu,Islam,73
33103,Lelaki,Melayu,Islam,63
33105,Perempuan,Melayu,Islam,89
33108,Lelaki,Melayu,Islam,72
33109,Perempuan,Melayu,Islam,60
33110,Lelaki,Melayu,Islam,63
33111,Lelaki,Melayu,Islam,85
33113,Lelaki,Melayu,Islam,64
33116,Lelaki,Melayu,Islam,60
33117,Perempuan,Melayu,Islam,67
33119,Perempuan,Melayu,Islam,62
33122,Lelaki,Melayu,Islam,66
33126,Lelaki,Melayu,Islam,64
33131,Lelaki,Melayu,Islam,68
33135,Lelaki,Melayu,Islam,75
33136,Lelaki,Melayu,Islam,78
33138,Lelaki,Melayu,Islam,72
33141,Perempuan,Melayu,Islam,67
33142,Lelaki,Melayu,Islam,69
33145,Lelaki,Melayu,Islam,79
33503,Lelaki,Melayu,Islam,60
33504,Lelaki,Melayu,Islam,66
33505,Lelaki,Melayu,Islam,68
33506,Lelaki,Melayu,Islam,60
33507,Perempuan,Melayu,Islam,72
33508,Lelaki,Melayu,Islam,64
33509,Perempuan,Melayu,Islam,62
33511,Perempuan,Melayu,Islam,70
33512,Lelaki,Melayu,Islam,69
33516,Perempuan,Melayu,Islam,65
33518,Lelaki,Melayu,Islam,72
33519,Lelaki,Melayu,Islam,62
33524,Perempuan,Melayu,Islam,72
33525,Lelaki,Melayu,Islam,89
33526,Lelaki,Melayu,Islam,69
33527,Lelaki,Melayu,Islam,67
33529,Lelaki,Melayu,Islam,63
33530,Lelaki,Melayu,Islam,68
33531,Lelaki,Melayu,Islam,66
33532,Lelaki,Melayu,Islam,62
33533,Lelaki,Melayu,Islam,73
33534,Lelaki,Melayu,Islam,68
33535,Lelaki,Melayu,Islam,64
33540,Lelaki,Melayu,Islam,77
33541,Perempuan,Melayu,Islam,71
33544,Lelaki,Melayu,Islam,68
33549,Lelaki,Melayu,Islam,72
33552,Perempuan,Melayu,Islam,73
33801,Lelaki,Melayu,Islam,76
33802,Lelaki,Melayu,Islam,71
33803,Perempuan,Melayu,Islam,66
33804,Perempuan,Melayu,Islam,68
33807,Lelaki,Melayu,Islam,71
33810,Lelaki,Melayu,Islam,67
33812,Lelaki,Melayu,Islam,64
33816,Lelaki,Melayu,Islam,64
33817,Lelaki,Melayu,Islam,71
33820,Perempuan,Melayu,Islam,73
33821,Perempuan,Melayu,Islam,76
33822,Perempuan,Melayu,Islam,65
33823,Perempuan,Melayu,Islam,73
33826,Lelaki,Melayu,Islam,66
33829,Perempuan,Melayu,Islam,67
33833,Lelaki,Melayu,Islam,74
33834,Lelaki,Melayu,Islam,68
33835,Perempuan,Melayu,Islam,71
33836,Perempuan,Melayu,Islam,64
33838,Perempuan,Melayu,Islam,67
33839,Perempuan,Melayu,Islam,66
33840,Perempuan,Melayu,Islam,61
33845,Lelaki,Melayu,Islam,73
33849,Lelaki,Melayu,Islam,65
33852,Perempuan,Melayu,Islam,72
33853,Perempuan,Melayu,Islam,76
33855,Lelaki,Melayu,Islam,66
33856,Lelaki,Melayu,Islam,69
33857,Perempuan,Melayu,Islam,64
33858,Perempuan,Melayu,Islam,67
33861,Perempuan,Melayu,Islam,67
33866,Perempuan,Melayu,Islam,69
33901,Lelaki,Melayu,Islam,71
33902,Lelaki,Melayu,Islam,70
33903,Perempuan,Melayu,Islam,60
33905,Lelaki,Melayu,Islam,74
33906,Lelaki,Melayu,Islam,68
33907,Perempuan,Melayu,Islam,75
33909,Perempuan,Melayu,Islam,79
33910,Perempuan,Melayu,Islam,69
33911,Lelaki,Melayu,Islam,74
33912,Perempuan,Melayu,Islam,67
33913,Perempuan,Melayu,Islam,63
33915,Lelaki,Melayu,Islam,62
33917,Lelaki,Melayu,Islam,70
